mdl-(1,6,1)-232-918108C9161FB1D4	vertices = (vtx-A11-145-n2-0, vtx-A03-105-2-4, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 232	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 4 x (irr-A3-6)	(3) : 2 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 2 x (irr-A3-6)	(8) : 2 x (irr-A3-6)	(1,3) : 1 x (irr-A11-12, irr-A3-4)	(1,4) : 1 x (irr-A11-12, irr-A3-4)	(1,5) : 1 x (irr-A11-12, irr-A3-4)	(1,6) : 1 x (irr-A11-12, irr-A3-4)	(1,7) : 1 x (irr-A11-12, irr-A3-4)	(1,8) : 1 x (irr-A11-12, irr-A3-4)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-A3-4)	(2,7) : 1 x (irr-A3-4, irr-A3-4)	(2,8) : 1 x (irr-A3-4, irr-A3-4)
mdl-(1,6,1)-233-8BC8319C10BEF5BA	vertices = (vtx-B13-162-n4-n2, vtx-A03-149-4-6, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2)	Δ = 233	bI-odd = ()	bI-even = ([[2,2],[1,-2],[1,2],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 1 x (irr-B13-27)	(2) : 2 x (irr-A3-4) + 3 x (irr-A3-6)	(3) : 0.5 x (irr-C3-14b-q)	(4) : 0.5 x (irr-C3-14b-q)	(5) : 0.5 x (irr-C3-14b-q)	(6) : 0.5 x (irr-C3-14b-q)	(7) : 0.5 x (irr-C3-14b-q)	(8) : 1 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,3) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,4) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,5) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,6) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,7) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,8) : 0.5 x (irr-B13-27, irr-C3-6-q)	(2,3) : 1 x (irr-A3-4, irr-C3-6-q)	(2,4) : 1 x (irr-A3-4, irr-C3-6-q)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,7) : 1 x (irr-A3-4, irr-C3-6-q)	(2,8) : 0.5 x (irr-A3-6, irr-C3-6-q)
mdl-(1,6,1)-236-F4C618551727EBAD	vertices = (vtx-B13-162-n4-n2, vtx-G02-140-4-6, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2)	Δ = 236	bI-odd = ()	bI-even = ([[2,2],[1,-2],[1,2],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 1 x (irr-B13-27)	(2) : 4 x (irr-G2-7)	(3) : 0.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(4) : 0.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(5) : 0.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(6) : 0.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(7) : 0.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(8) : 0.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,3) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,4) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,5) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,6) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,7) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,8) : 0.5 x (irr-B13-27, irr-C3-6-q)	(2,3) : 0.5 x (irr-G2-7, irr-C3-6-q)	(2,4) : 0.5 x (irr-G2-7, irr-C3-6-q)	(2,5) : 0.5 x (irr-G2-7, irr-C3-6-q)	(2,6) : 0.5 x (irr-G2-7, irr-C3-6-q)	(2,7) : 0.5 x (irr-G2-7, irr-C3-6-q)	(2,8) : 0.5 x (irr-G2-7, irr-C3-6-q)
mdl-(1,6,1)-237-0BB847865EA58878	vertices = (vtx-B13-162-n4-n2, vtx-B03-156-4-6, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2)	Δ = 237	bI-odd = ()	bI-even = ([[2,2],[1,-2],[1,2],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 1 x (irr-B13-27)	(2) : 4 x (irr-B3-7) + 1 x (irr-B3-8)	(3) : 0.5 x (irr-C3-14b-q)	(4) : 0.5 x (irr-C3-14b-q)	(5) : 0.5 x (irr-C3-14b-q)	(6) : 0.5 x (irr-C3-14b-q)	(7) : 0.5 x (irr-C3-14b-q)	(8) : 0.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,3) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,4) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,5) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,6) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,7) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,8) : 0.5 x (irr-B13-27, irr-C3-6-q)	(2,3) : 0.5 x (irr-B3-8, irr-C3-6-q)	(2,4) : 0.5 x (irr-B3-8, irr-C3-6-q)	(2,5) : 0.5 x (irr-B3-8, irr-C3-6-q)	(2,6) : 0.5 x (irr-B3-8, irr-C3-6-q)	(2,7) : 0.5 x (irr-B3-8, irr-C3-6-q)	(2,8) : 0.5 x (irr-B3-7, irr-C3-6-q)
mdl-(1,6,1)-239-65ABE180AAE2DE23	vertices = (vtx-B13-162-n4-n2, vtx-A03-149-4-6, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2)	Δ = 239	bI-odd = ()	bI-even = ([[2,2],[1,-2],[1,2],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 1 x (irr-B13-27)	(2) : 8 x (irr-A3-4)	(3) : 0.5 x (irr-C3-14b-q)	(4) : 0.5 x (irr-C3-14b-q)	(5) : 0.5 x (irr-C3-14b-q)	(6) : 0.5 x (irr-C3-14b-q)	(7) : 1 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(8) : 1 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,3) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,4) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,5) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,6) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,7) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,8) : 0.5 x (irr-B13-27, irr-C3-6-q)	(2,3) : 1 x (irr-A3-4, irr-C3-6-q)	(2,4) : 1 x (irr-A3-4, irr-C3-6-q)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,7) : 0.5 x (irr-A3-6, irr-C3-6-q)	(2,8) : 0.5 x (irr-A3-6, irr-C3-6-q)
mdl-(1,6,1)-240-222F59612786B6DC	vertices = (vtx-B13-162-n4-n2, vtx-B03-156-4-6, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2)	Δ = 240	bI-odd = ()	bI-even = ([[2,2],[1,-2],[1,2],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 1 x (irr-B13-27)	(2) : 1 x (irr-B3-7) + 4 x (irr-B3-8)	(3) : 0.5 x (irr-C3-14b-q)	(4) : 0.5 x (irr-C3-14b-q)	(5) : 0.5 x (irr-C3-14b-q)	(6) : 0.5 x (irr-C3-14b-q)	(7) : 0.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(8) : 0.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,3) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,4) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,5) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,6) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,7) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,8) : 0.5 x (irr-B13-27, irr-C3-6-q)	(2,3) : 0.5 x (irr-B3-8, irr-C3-6-q)	(2,4) : 0.5 x (irr-B3-8, irr-C3-6-q)	(2,5) : 0.5 x (irr-B3-8, irr-C3-6-q)	(2,6) : 0.5 x (irr-B3-8, irr-C3-6-q)	(2,7) : 0.5 x (irr-B3-7, irr-C3-6-q)	(2,8) : 0.5 x (irr-B3-7, irr-C3-6-q)
mdl-(1,6,1)-242-A9F170479DC34684	vertices = (vtx-B13-162-n4-n2, vtx-D04-164-4-6, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2)	Δ = 242	bI-odd = ()	bI-even = ([[2,2],[1,-2],[1,2],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 1 x (irr-B13-27)	(2) : 2 x (irr-D4-8a) + 4 x (irr-D4-8b)	(3) : 0.5 x (irr-C3-14b-q)	(4) : 0.5 x (irr-C3-14b-q)	(5) : 0.5 x (irr-C3-14b-q)	(6) : 0.5 x (irr-C3-14b-q)	(7) : 0.5 x (irr-C3-14b-q)	(8) : 0.5 x (irr-C3-14b-q)	(1,3) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,4) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,5) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,6) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,7) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,8) : 0.5 x (irr-B13-27, irr-C3-6-q)	(2,3) : 0.5 x (irr-D4-8a, irr-C3-6-q)	(2,4) : 0.5 x (irr-D4-8a, irr-C3-6-q)	(2,5) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(2,6) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(2,7) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(2,8) : 0.5 x (irr-D4-8b, irr-C3-6-q)
mdl-(1,6,1)-242-A79CADFB45EBCE2E	vertices = (vtx-B13-162-n4-n2, vtx-D04-164-4-6, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2, vtx-C03-91-0-2)	Δ = 242	bI-odd = ()	bI-even = ([[2,2],[1,-2],[1,2],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 1 x (irr-B13-27)	(2) : 5 x (irr-D4-8a) + 1 x (irr-D4-8b)	(3) : 0.5 x (irr-C3-14b-q)	(4) : 0.5 x (irr-C3-14b-q)	(5) : 0.5 x (irr-C3-14b-q)	(6) : 0.5 x (irr-C3-14b-q)	(7) : 0.5 x (irr-C3-14b-q)	(8) : 0.5 x (irr-C3-14b-q)	(1,3) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,4) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,5) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,6) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,7) : 0.5 x (irr-B13-27, irr-C3-6-q)	(1,8) : 0.5 x (irr-B13-27, irr-C3-6-q)	(2,3) : 0.5 x (irr-D4-8a, irr-C3-6-q)	(2,4) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(2,5) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(2,6) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(2,7) : 0.5 x (irr-D4-8b, irr-C3-6-q)	(2,8) : 0.5 x (irr-D4-8b, irr-C3-6-q)
mdl-(1,6,1)-238-4E9A1E922403DFAA	vertices = (vtx-C07-203-n1-1, vtx-C03-119-1-3, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-G02-56-0-2)	Δ = 238	bI-odd = ([[3,1],[0,-1],[1,0],[1,1],[1,1],[1,1],[1,1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-C7-14-q)	(2) : 1 x (irr-C3-14b-q)	(1,3) : 0.5 x (irr-C7-14-q, irr-G2-7)	(1,4) : 0.5 x (irr-C7-14-q, irr-G2-7)	(1,5) : 0.5 x (irr-C7-14-q, irr-G2-7)	(1,6) : 0.5 x (irr-C7-14-q, irr-G2-7)	(1,7) : 0.5 x (irr-C7-14-q, irr-G2-7)	(1,8) : 0.5 x (irr-C7-14-q, irr-G2-7)	(2,3) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,4) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,5) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,6) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,7) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,8) : 0.5 x (irr-C3-6-q, irr-G2-7)
mdl-(1,6,1)-239-503560D3931AA955	vertices = (vtx-C07-203-n1-1, vtx-C03-119-1-3, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-B03-64-0-2)	Δ = 239	bI-odd = ([[3,1],[0,-1],[1,0],[1,1],[1,1],[1,1],[1,1],[1,1],[1,1]])	bI-even = ()	(1) : 0.5 x (irr-C7-14-q)	(2) : 1 x (irr-C3-14b-q)	(8) : 1 x (irr-B3-8)	(1,3) : 0.5 x (irr-C7-14-q, irr-G2-7)	(1,4) : 0.5 x (irr-C7-14-q, irr-G2-7)	(1,5) : 0.5 x (irr-C7-14-q, irr-G2-7)	(1,6) : 0.5 x (irr-C7-14-q, irr-G2-7)	(1,7) : 0.5 x (irr-C7-14-q, irr-G2-7)	(1,8) : 0.5 x (irr-C7-14-q, irr-B3-8)	(2,3) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,4) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,5) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,6) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,7) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,8) : 0.5 x (irr-C3-6-q, irr-B3-7)
mdl-(1,6,1)-240-1FF5095B857504D2	vertices = (vtx-C07-203-n1-1, vtx-C03-119-1-3, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-B03-64-0-2, vtx-B03-64-0-2)	Δ = 240	bI-odd = ([[3,1],[0,-1],[1,0],[1,1],[1,1],[1,1],[1,1],[1,1],[1,1]])	bI-even = ()	(2) : 1 x (irr-C3-14b-q)	(7) : 1 x (irr-B3-8)	(8) : 1 x (irr-B3-8)	(1,3) : 0.5 x (irr-C7-14-q, irr-G2-7)	(1,4) : 0.5 x (irr-C7-14-q, irr-G2-7)	(1,5) : 0.5 x (irr-C7-14-q, irr-G2-7)	(1,6) : 0.5 x (irr-C7-14-q, irr-G2-7)	(1,7) : 0.5 x (irr-C7-14-q, irr-B3-8)	(1,8) : 0.5 x (irr-C7-14-q, irr-B3-8)	(2,3) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,4) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,5) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,6) : 0.5 x (irr-C3-6-q, irr-G2-7)	(2,7) : 0.5 x (irr-C3-6-q, irr-B3-7)	(2,8) : 0.5 x (irr-C3-6-q, irr-B3-7)
mdl-(1,6,1)-241-2E4CA90CC246D22D	vertices = (vtx-C08-248-n1-1, vtx-C03-119-1-3, vtx-B03-64-0-2, vtx-B03-64-0-2, vtx-B03-64-0-2, vtx-B03-64-0-2, vtx-B03-64-0-2, vtx-B03-64-0-2)	Δ = 241	bI-odd = ([[3,1],[0,-1],[1,0],[1,1],[1,1],[1,1],[1,1],[1,1],[1,1]])	bI-even = ()	(2) : 1 x (irr-C3-14b-q)	(1,3) : 0.5 x (irr-C8-16-q, irr-B3-8)	(1,4) : 0.5 x (irr-C8-16-q, irr-B3-8)	(1,5) : 0.5 x (irr-C8-16-q, irr-B3-8)	(1,6) : 0.5 x (irr-C8-16-q, irr-B3-8)	(1,7) : 0.5 x (irr-C8-16-q, irr-B3-8)	(1,8) : 0.5 x (irr-C8-16-q, irr-B3-8)	(2,3) : 0.5 x (irr-C3-6-q, irr-B3-7)	(2,4) : 0.5 x (irr-C3-6-q, irr-B3-7)	(2,5) : 0.5 x (irr-C3-6-q, irr-B3-7)	(2,6) : 0.5 x (irr-C3-6-q, irr-B3-7)	(2,7) : 0.5 x (irr-C3-6-q, irr-B3-7)	(2,8) : 0.5 x (irr-C3-6-q, irr-B3-7)
